Source Title,Publisher,Year,OCLC Number
Encounter,Crescent Publications,1986,30942135
The Running Water Hermitage,Moonwang Pub.,1967,1330998
Transition : Volume 089,Asia publishers,2014,1001564540
Floating Grass,Dong-Suh Munhaksa,1990,23686220
Father And Son,Homa & Sekey,2002,50917525
"Left's Right, Right's Left",Strangers Press,2019,1143354272
The Impossible Fairy Tale,Graywolf Press,2017,1004424493
The Impossible Fairytale,Tilted Axis,2017,1028449160
Where Is My Country?,P.E.N. Centre,1984,-
One Spoon On This Earth,DALKEY ARCHIVE,2013,882915557
Sun-I Samch'on,Asia publishers,2012,808148900
Aunt Suni,Kak,2008,468875041
A Lucky Day : Volume 087,Asia publishers,2014,1001564212
Princess Bari,Scribe,2019,1050963571
At Dusk,Scribe,2018,1056779645
Familiar Things,Scribe Publications,2017,1035419311
Princess Bari,Periscope,2015,891307037
The Shadow Of Arms,Seven Stories Press,2014,834424168
The Old Garden,Seven Stories,2012,182529160
The Road To Sampo,Asia publishers,2012,809850862
The Ancient Garden,Macmillan Hardback Omes,2009,463334721
The Old Garden,Seven Stories Press,2009,320352304
The Guest,Seven Stories Press,2005,58451805
The Shadow Of Arms,Cornell Univ. East Asia Program,1994,31728387
Miracle On Cherry Hill,Abacus,2019,1087108398
The Cloudburst : Volume 106,Asia publishers,2015,1108081069
The Moving Fortress,MerwinAsia,2015,903596897
Trees On A Slope,University of Hawaii Press,2005,56387176
A Man,Jimoondang,2003,61677699
The Descendants Of Cain,M.E. Sharpe,1997,36892693
"Sunlight, Moonlight",Si-sa-yong-o-sa,1990,23738439
The Moving Castle,Si-sa-yong-o-sa,1985,13146698
Trees On The Cliff,Larchwood Publications Ltd.,1980,433182855
Kong's Garden,Strangers Press,2019,1143345325
I'll Go On,Tilted Axis Press,2018,1085560055
One Hundred Shadows,Tilted Axis Press,2016,961300492
Kong's Garden,Asia publisher,2015,930275712
Another Person,Pushkin Press,2023,1335112899
Broken Summer,Amazon Crossing,2022,1331704884
Can't I Go Instead,Tor Publishing Group,2023,1340645383
Can't I Go Instead,Scribner UK,2023,1365362913
Chunjas Nanjing,Seoul Selection U.S.A.,2022,1371990550
Concerning My Daughter,Pan Macmillan,2022,1273915903
Concerning My Daughter,Restless Books,2022,1309020376
Counterweight,Pantheon Books,2023,1348636368
Greek Lessons,Hogarth,2023,1369032494
Happy Together,Asia publishers,2021,1289193785
I Went To See My Father,Astra House,2023,133688843
"Kim Jiyoung, Born 1982",Simon & Schuster UK,2021,1132417868
Korean Teachers,Harriett Press,2022,1302741900
LAUNCH SOMETHING!,Honford Star,2022,1352038604
Lemon,Other Press,2021,123214876
Love in the Big City,Tilted Axis Press,2021,1304177724
Love in the Big City,Grove Press,2021,1241730042
Mater 2-10,Scribe,2023,1378899964
My Brilliant Life,Forge Books,2022,1151760291
Saha,Liveright,2022,1347751059
Saha,Scribner UK,2022,1346483185
Shoko's Smile,Hodder & Stoughton,2021,1246540211
Shoko's Smile,Penguin Randomhouse,2021,1202304694
The Black room,Asia publishers,2020,1236618736
The Cabinet,Angry Robot,2021,1232148818
The Old Woman With the Knife,Canongate,2022,1301528785
The Owl Cries,Arcade,2023,1347428030
The Picture Bride,Forge,2022,1289255372
The Picture Bride,Scribe UK,2022,1346072631
The Specters of Algeria,Honford Press,2023,1369662143
To the warm horizon,Honford Star,2021,1259292529
Togani,University of Hawaii Press,2023,1371466601
VIOLETS,The Feminist Press,2022,1267687880
VIOLETS,Weidenfeld & Nicolson,2022,1246284453
Walking Practice,HarperCollins,2023,1332887605
Whale,Dalkey Archive Press,2016,-
Whale,Archipelago Books,2023,1336592213
Whale,Europa Editions,2023,1363813878
Fired: K-Fiction Series 13,Asia publishers,2015,930295907
Mama And The Boarder : Volume 099,Asia publishers,2015,975563685
Old Man River,Asia publishers,2015,922007333
The Snowy Road,Hollym,2005,60271655
The Valley Nearby,Heinemann,1997,36407713
Where Would You Like To Go?,Asia publishers,2016,945582194
"Yi Kwang-Su And Modern Korean Literature, Mujo??ng","East Asia Program, Cornell University",2005,211627128Source Title,Publisher,Year,OCLC NumberSource Title,Publisher,Year,OCLC Number
A Distant And Beautiful Place,University of Hawaii Press,2003,49795553,"""\""18.90 other Asiatic languages\"",\""Fiction\"",\""Romans\"",\""Short Stories, Korean Translations into English\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Stories (texts)\"",\""Translations\"",\""Yang, Kwi-ja, 1955-\"",\""Yang, Kwi-ja, 1955- Translations into English\"",\""소설\"""""
A Good Family,Dalkey Archive Press,2015,921994653,"""\""Families\"",\""Families Fiction\"",\""Familles Romans, nouvelles, etc\"",\""Fiction\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""short stories\"""""
A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010,601086747,"""\""1900-1999\"",\""Corée Mœurs et coutumes 20e siècle\"",\""Criticism, interpretation, etc\"",\""History\"",\""Korea\"",\""Korea History 20th century\"",\""Korea Social life and customs 20th century\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Manners and customs\"",\""Nouvelles\"",\""Nouvelles coréennes Histoire et critique\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean History and criticism\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""Translations into English\"",\""short stories\"""""
A Most Ambiguous Sunday And Other Stories,DALKEY ARCHIVE,2013,881470215,"""\""FICTION General\"",\""Nouvelles coréennes\"",\""Short stories, Korean\"""""
A Ready - Made Life,University of Hawaii Press,1998,45728179,"""\""1900-1999\"",\""Bloemlezingen (vorm)\"",\""HISTORY Asia Korea\"",\""Koreaans\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""LITERARY CRITICISM Asian General\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""Verhalen (teksten)\"",\""Vertalingen (vorm)\"""""
A Respite And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Pace International Research",1983,11109528,"""\""Corée Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Social life and customs Fiction\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Manners and customs\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
A Sketch Of The Fading Sun,White Pine Press,1999,42291225,"""\""1900-1999\"",\""Fiction\"",\""Fictional Work\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean 20th century Translations into English\"",\""Translations\"""""
