Source Title,Publisher,Year,OCLC Number
The Land Of The Banished,Asia publishers,2012,808372979,"""\""Fiction\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
The Land Of The Banished,Jimoondang,2001,49869662,"""\""1950-1953\"",\""Erzählung\"",\""Fiction\"",\""Guerre de Corée, 1950-1953 Romans, nouvelles, etc\"",\""Korean War, 1950-1953 Fiction\"",\""Korean fiction\"",\""Koreanisch\"""""
Playing With Fire,Cornell Univ. East Asia Program,1997,36709076,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Romans\"""""
How In Heaven's Name,Merwin Asia,2012,786447174,"""\""1939-1945\"",\""Fiction\"",\""Historical fiction\"",\""World War, 1939-1945 Prisoners and prisons, Korean Fiction\"""""
America,Dong-Suh Munhaksa,1990,23686114,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century\"",\""Roman coréen 20e siècle\"",\""Romans\"""""
I Met Loh Kiwan,University of Hawai'i Press,2019,1078993168,"""\""Belgium\"",\""Coréens Belgique Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (North)\"",\""Koreans\"",\""Koreans Belgium Fiction\"",\""Novels\"",\""Political refugees\"",\""Political refugees Korea (North) Fiction\"",\""Romans\"",\""novels\"""""
Turbid Rivers,Dalkey Archive Press,2016,943594712,"""\""1910-1945\"",\""Corée Histoire 1910-1945 (Occupation japonaise) Romans, nouvelles, etc\"",\""Domestic fiction\"",\""Femmes Corée Romans, nouvelles, etc\"",\""Fiction\"",\""History\"",\""Korea\"",\""Korea History Japanese occupation, 1910-1945 Fiction\"",\""Women\"",\""Women Korea Fiction\"""""
Juvesenility : Volume 101,Asia publishers,2015,910734768,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"",\""한국 단편 소설韓國短篇小說\"",\""한국 문학[韓國文學"""
My Innocent Uncle,Jimoondang,2003,224627550,"""\""Ch'ae, Man-sik, 1902-1950\"",\""Ch'ae, Man-sik, 1902-1950 Translations into English\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Translations\"""""
Peace Under Heaven,M.E. Sharpe,1992,26545807,"""\""18.90 other Asiatic languages\"",\""1900-2000\"",\""1910-1945\"",\""Corée Histoire 1910-1945 (Occupation japonaise) Romans, nouvelles, etc\"",\""Fiction\"",\""Fiction 1900-1999 (20th century)\"",\""History\"",\""Korea\"",\""Korea History Japanese occupation, 1910-1945 Fiction\"",\""Korean fiction\"",\""Korean fiction 1900-1999 (20th century)\"",\""Korean fiction 20th century Translations into English\"",\""Korean literature 1900-1999 (20th century)\"",\""Literature, Modern 20th century\"",\""Romans\"",\""Translations (form)\"""""
Homecoming,Asia publishers,2015,975665920,"""\""한국 현대 소설[韓國現代小說"""
Modern Family,White Pine Press,2015,890179964,"""\""Dysfunctional families\"",\""Dysfunctional families Korea (South) Fiction\"",\""Families\"",\""Families Korea (South) Fiction\"",\""Familles Corée du Sud Romans, nouvelles, etc\"",\""Familles inadaptées Corée du Sud Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Motion picture producers and directors\"",\""Motion picture producers and directors Korea (South) Fiction\"",\""Novels\"",\""Producteurs et réalisateurs de cinéma Corée du Sud Romans, nouvelles, etc\"",\""Romans\"""""
The Catcher In The Loft,Codhill Press,2019,1224592501,-
Five Preludes & A Fugue,Strangers Press,2019,1112371104,"""\""Nouvelles\"",\""Short stories\"",\""short stories\"""""
Walking In The Rain : Volume 094,Asia publishers,2015,910684523,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
Dishonored,Asia publishers,2014,904963888,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Escape : Volume 088,Asia publishers,2014,1001564476,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"""""
Mannequin,Dalkey Archive Press,2016,1032374567,"""\""Beauty, Personal\"",\""Corée du Sud Mœurs et coutumes Romans, nouvelles, etc\"",\""Femmes Corée du Sud Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Social life and customs Fiction\"",\""LITERARY CRITICISM Asian General\"",\""Manners and customs\"",\""Romans\"",\""Women\"",\""Women Korea (South) Fiction\"""""
The Last Of Hanak'o,Asia publishers,2012,809933394,"""\""Fiction\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"",\""한국 단편 소설韓國短篇小說\"",\""한국 현대 소설[韓國現代小說"""
The Last Of Hanako,Jimoondang,2003,55741158,"""\""Fiction\"",\""Koreanisch\"",\""Kurzgeschichte\"",\""Romans\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Another Man's City,Dalkey Archive Press,2014,883391252,"""\""Korean fiction\"",\""Koreanisch\"",\""Novels\"",\""Roman\"",\""Roman coréen\"",\""Romans\"""""
Tower Of Ants,Hollym,2004,60331084,"""\""Nouvelles coréennes\"",\""Short stories, Korean\"""""
Deep Blue Night,Jimoondang,2002,52993800,"""\""Ch'oe, In-ho, 1945-2013\"",\""Ch'oe, In-ho, 1945-2013 Translations into English\"",\""Fiction\"",\""Romans\"",\""Translations\"""""
The Square,Dalkey Archive Press,2014,883391403,"""\""Fiction\"",\""Ideology\"",\""Ideology Fiction\"",\""Idéologie Romans, nouvelles, etc\"",\""Individualism\"",\""Individualism Fiction\"",\""Koreanisch\"",\""Novels\"",\""Roman\"",\""Romans\"""""
House Of Idols,Jimoondang,2003,224317654,"""\""Ch'oe, In-hun\"",\""Ch'oe, In-hun Translations into English\"",\""Translations\"""""
A Grey Man,Si-sa-yong-o-sa,1988,19466529,"""\""1900-1999\"",\""Coréens Romans, nouvelles, etc\"",\""Fiction\"",\""Intellectuals\"",\""Intellectuals Fiction\"",\""Intellectuels Romans, nouvelles, etc\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Koreans\"",\""Koreans Fiction\"",\""Romans\"",\""Translations\"""""
The Daily Life Of Ku-Poh The Novelist,Fremont Publications,1985,15364889,"""\""1900-1999\"",\""Fiction\"",\""Fictional Work\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Romans\"",\""Translations\"""""
The Square,Spindlewood,1985,12524703,"""\""Ch'oe, In-hun\"",\""Chʻoe, In-hun Translations into English\"",\""Fiction\"",\""Fiction in Korean, 1945- - English texts\"",\""Korean fiction\"",\""Koreanisch\"",\""Roman\"",\""Romans\"",\""Translations\"""""
The Law Of Lines: A Novel,Arcade,2020,1130330430,"""\""Corée du Sud Romans, nouvelles, etc\"",\""Corporations Corrupt practices\"",\""Corporations Corrupt practices Fiction\"",\""Criminal investigation\"",\""Criminal investigation Fiction\"",\""Enquêtes criminelles Romans, nouvelles, etc\"",\""FICTION / Literary\"",\""Fathers Death\"",\""Fathers Death Fiction\"",\""Fiction\"",\""Jeunes femmes Corée du Sud Romans, nouvelles, etc\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Novels\"",\""Pères Mort Romans, nouvelles, etc\"",\""Romans\"",\""Sisters Death\"",\""Sisters Death Fiction\"",\""Sociétés Pratiques déloyales Romans, nouvelles, etc\"",\""Sœurs Mort Romans, nouvelles, etc\"",\""Thrillers (Fiction)\"",\""Young women\"",\""Young women Korea (South) Fiction\"",\""novels\"""""
City Of Ash And Red,Skyhorse Publishing,2018,1086118050,-
The Hole,Arcade Publishing,2017,985359630,"""\""Chagrin Romans, nouvelles, etc\"",\""FICTION / Literary\"",\""FICTION / Psychological\"",\""FICTION / Thrillers / Psychological\"",\""FICTION / Thrillers / Suspense\"",\""Femmes mariées Mort Romans, nouvelles, etc\"",\""Fiction\"",\""Grief\"",\""Grief Fiction\"",\""Horror fiction\"",\""Psychological fiction\"",\""Thrillers (Fiction)\"",\""Wives Death Fiction\"""""
The Republic Of U??upis,Dalkey Archive Press,2014,883391402,"""\""Fiction\"",\""Lithuania Vilnius\"",\""Romans\"",\""Vilnius (Lithuania) Fiction\"""""
Europa,Strangers Press,2019,1108712733,"""\""Han, Kang, 1970- Translations into English\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
The White Book,Portobello Books,2017,968507720,"""\""2000-2099\"",\""Attitude to Death\"",\""Autobiographical fiction\"",\""Chagrin\"",\""Death Psychological aspects\"",\""Experimental fiction\"",\""Fiction\"",\""Grief\"",\""Korean fiction\"",\""Korean fiction 21st century\"",\""Mort Aspect psychologique\"",\""Mort subite chez le nourrisson\"",\""Psychological fiction\"",\""Resilience (Personality trait)\"",\""Resilience (Personality trait) Fiction\"",\""Résilience (Trait de personnalité) Romans, nouvelles, etc\"",\""Roman coréen 21e siècle\"",\""Souffrance Romans, nouvelles, etc\"",\""South Korean fiction\"",\""Sudden Infant Death\"",\""Sudden infant death syndrome\"",\""Suffering\"",\""Suffering Fiction\"",\""grief\"""""
Human Acts,Portobello Books,2016,920738939,"""\""1900-1999\"",\""Bildungsromans\"",\""Corée du Sud Politique et gouvernement 1960-1988 Romans, nouvelles, etc\"",\""Corée du Sud Romans, nouvelles, etc\"",\""Democratization\"",\""Democratization Korea (South) History 20th century Fiction\"",\""Démocratisation Corée du Sud Histoire 20e siècle Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Historical fiction\"",\""History\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Korea (South) Politics and government 1960-1988 Fiction\"",\""Korean fiction Translations into English\"",\""Novels\"",\""Politics and government\"",\""Romans\"""""
Human Acts,Hogarth,2016,937062129,"""\""Democracy Korea (South) History. Fiction\"",\""Democratization\"",\""Democratization History Korea (South) Fiction 20th century\"",\""Democratization Korea (South) History 20th century Fiction\"",\""Démocratisation Corée du Sud Histoire 20e siècle Romans, nouvelles, etc\"",\""FICTION Cultural Heritage\"",\""FICTION Literary\"",\""FICTION Psychological\"",\""Fiction\"",\""Grief Fiction\"",\""Historical fiction\"",\""History\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Korea (South) Politics and government 1960-\"",\""Korea (South) Politics and government 1960- Fiction\"",\""Korea (South) Politics and government Fiction\"",\""Political fiction\"",\""Politics and government\"",\""Since 1900\"""""
The Vegetarian,Hogarth,2016,949753530,"""\""Actualisation de soi chez la femme Romans, nouvelles, etc\"",\""Allegorical fiction\"",\""Allegories\"",\""Domestic fiction\"",\""Fiction\"",\""Psychological fiction\"",\""Réalisation de soi chez la femme Romans, nouvelles, etc\"",\""Self-actualization (Psychology) in women\"",\""Self-actualization (Psychology) in women Fiction\"",\""Self-realization in women\"",\""Self-realization in women Fiction\"",\""Vegetarianism\"",\""Vegetarianism Fiction\"",\""Végétarisme Romans, nouvelles, etc\"""""
The Vegetarian,Portobello Books,2015,896855397,"""\""Corée du Sud Romans, nouvelles, etc\"",\""Erotic fiction\"",\""Fiction\"",\""Fiction in Translation\"",\""Fiction in translation\"",\""General\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Korean fiction Translations into English\"",\""Psychological fiction\"""""
Convalescence : Volume 024,Asia pubilshers,2013,859891204,"""\""Criticism, interpretation, etc\"",\""Fiction\"",\""Han, Kang, 1970- Criticism and interpretation\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""novels\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
Hymn Of The Spirit,Fremont Publications,1983,11725475,"""\""1900-1999\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Translations\"""""
And So Flows History,University of Hawaii Press,2005,57285887,"""\""18.90 other Asiatic languages\"",\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Korea\"",\""Korea Fiction\"",\""Romans\"""""
Encounter,University of California,1992,24380215,"""\""Biographical fiction\"",\""Biographicalfiction\"",\""Chong, Ha-sang, 1795-1839 Fiction\"",\""Chŏng, Ha-sang, 1795-1839\"",\""Chŏng, Ha-sang, 1795-1839 Fiction\"",\""Chŏng, Yag-yong, 1762-1836\"",\""Chŏng, Yag-yong, 1762-1836 Fiction\"",\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Historical fiction\"",\""Korea\"",\""Korea Fiction\"",\""Korean fiction\"""""
Encounter,Crescent Publications,1986,30942135,"""\""Chŏng, Ha-sang, 1795-1839\"",\""Chŏng, Ha-sang, 1795-1839 Fiction\"",\""Chŏng, Yag-yong, 1762-1836\"",\""Chŏng, Yag-yong, 1762-1836 Fiction\"",\""Fiction\"""""
The Running Water Hermitage,Moonwang Pub.,1967,1330998,"""\""1900-1999\"",\""English fiction Translations from Korean\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Translations\"""""
Transition : Volume 089,Asia publishers,2014,1001564540,"""\""1900-1999\"",\""Fiction\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Novels\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""novels\"",\""short stories\"""""
Floating Grass,Dong-Suh Munhaksa,1990,23686220,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century\"",\""Littérature coréenne 20e siècle\"",\""Roman coréen 20e siècle\"",\""Romans\"""""
Father And Son,Homa & Sekey,2002,50917525,"""\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Fiction\"",\""Koreanisch\"",\""Roman\"",\""Romans\"""""
"Left's Right, Right's Left",Strangers Press,2019,1143354272,"""\""Nouvelles\"",\""Short stories\"",\""short stories\"""""
The Impossible Fairy Tale,Graywolf Press,2017,1004424493,"""\""Bullying in schools\"",\""Bullying in schools Fiction\"",\""Fiction\"",\""Filles Romans, nouvelles, etc\"",\""Girls\"",\""Girls Fiction\"",\""Intimidation dans les écoles Romans, nouvelles, etc\"",\""Psychological fiction\"",\""Teachers Fiction\"""""
The Impossible Fairytale,Tilted Axis,2017,1028449160,"""\""Overnaturlege evner\"",\""Overnaturlige evner\"",\""Roman\"",\""Sør-Korea\"""""
Where Is My Country?,P.E.N. Centre,1984,-,-
One Spoon On This Earth,DALKEY ARCHIVE,2013,882915557,"""\""Autobiographical fiction\"",\""Autobiographical memory\"",\""Autobiographical memory Fiction\"",\""Cheju Island (Korea) Fiction\"",\""Cheju, Île (Corée) Romans, nouvelles, etc\"",\""Corée Romans, nouvelles, etc\"",\""FICTION Psychological\"",\""Fiction\"",\""Korea\"",\""Korea (South) Cheju Island\"",\""Korea Fiction\"",\""Mémoire épisodique Romans, nouvelles, etc\"",\""Psychological fiction\"""""
Sun-I Samch'on,Asia publishers,2012,808148900,"""\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
Aunt Suni,Kak,2008,468875041,"""\""Erzählung\"",\""Koreanisch\"""""
A Lucky Day : Volume 087,Asia publishers,2014,1001564212,"""\""1900-1999\"",\""Fiction\"",\""Fictional Work\"",\""Korean literature\"",\""Korean literature 20th century\"",\""Littérature coréenne 20e siècle\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Princess Bari,Scribe,2019,1050963571,"""\""Coréens Angleterre Londres Romans, nouvelles, etc\"",\""England London\"",\""Escapes\"",\""Escapes Korea (North) Fiction\"",\""Évasions Corée du Nord Romans, nouvelles, etc\"",\""Famines\"",\""Famines Corée du Nord Romans, nouvelles, etc\"",\""Famines Korea (North) Fiction\"",\""Fiction\"",\""Guérison par la foi Romans, nouvelles, etc\"",\""Korea (North)\"",\""Koreans\"",\""Koreans England London Fiction\"",\""Masseurs\"",\""Masseurs Fiction\"",\""Novels\"",\""Romans\"",\""Spiritual healing\"",\""Spiritual healing Fiction\"",\""novels\"""""
At Dusk,Scribe,2018,1056779645,"""\""Architectes Corée du Sud Romans, nouvelles, etc\"",\""Architects\"",\""Architects Korea (South) Fiction\"",\""Corporations Corrupt practices\"",\""Corporations Corrupt practices Fiction\"",\""Fiction\"",\""Fiction in Translation\"",\""General\"",\""Korea (South)\"",\""Korea (South) Seoul\"",\""Man-woman relationships\"",\""Man-woman relationships Fiction\"",\""Novels\"",\""Relations entre hommes et femmes Romans, nouvelles, etc\"",\""Romans\"",\""Seoul (Korea) Fiction\"",\""Sociétés Pratiques déloyales Romans, nouvelles, etc\"",\""novels\"""""
Familiar Things,Scribe Publications,2017,1035419311,"""\""Amitié Romans, nouvelles, etc\"",\""FICTION Literary\"",\""FICTION Urban Life\"",\""Fiction\"",\""Friendship\"",\""Friendship Fiction\"",\""Korea (South) Seoul\"",\""Korean fiction\"",\""Novels\"",\""Pauvres en milieu urbain Romans, nouvelles, etc\"",\""Romans\"",\""Seoul (Korea) Fiction\"",\""Urban poor\"",\""Urban poor Fiction\"",\""novels\"""""
Princess Bari,Periscope,2015,891307037,"""\""Coréens Angleterre Londres Romans, nouvelles, etc\"",\""England London\"",\""Fiction\"",\""Fiction in translation\"",\""Koreans\"",\""Koreans England London Fiction\"",\""Magic realist fiction\"",\""Modern \\u0026 contemporary fiction\"",\""Modern \\u0026 contemporary fiction (post c 1945)\"",\""Psychological fiction\"""""
The Shadow Of Arms,Seven Stories Press,2014,834424168,"""\""1961-1975\"",\""Fiction\"",\""Guerre du Viêt-nam, 1961-1975 Romans, nouvelles, etc\"",\""Vietnam War, 1961-1975 Fiction\"",\""War stories\"""""
The Old Garden,Seven Stories,2012,182529160,"""\""Corée du Sud Romans, nouvelles, etc\"",\""Ex-convicts\"",\""Ex-convicts Korea (South) Fiction\"",\""Ex-détenus Corée du Sud Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Political prisoners\"",\""Political prisoners Korea (South) Fiction\"",\""Prisonniers politiques Corée du Sud Romans, nouvelles, etc\"""""
The Road To Sampo,Asia publishers,2012,809850862,"""\""Fiction\"",\""Fictional Work\"",\""Nouvelles\"",\""Romans\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"",\""한국 단편 소설[韓國短篇小說"""
The Ancient Garden,Macmillan Hardback Omes,2009,463334721,"""\""Corée du Sud Mœurs et coutumes Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea (South)\"",\""Korea (South) Social life and customs Fiction\"",\""Love stories\"",\""Manners and customs\"",\""Political prisoners\"",\""Political prisoners Korea Fiction\"",\""Prisonniers politiques Corée Romans, nouvelles, etc\"""""
The Old Garden,Seven Stories Press,2009,320352304,"""\""1980\"",\""Corée du Sud Romans, nouvelles, etc\"",\""Diaries\"",\""Diaries Fiction\"",\""East Asian Languages \\u0026 Literatures\"",\""Fiction\"",\""Journaux intimes Romans, nouvelles, etc\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Korea (South) Kwangju-si (Chŏlla-namdo)\"",\""Kwangju Uprising, Kwangju-si, Korea, 1980 Fiction\"",\""Languages \\u0026 Literatures\"",\""Love stories\"",\""Romance fiction\"",\""Romans\"",\""Soulèvement de Kwangju, Kwangju, Corée, 1980 Romans, nouvelles, etc\"""""
The Guest,Seven Stories Press,2005,58451805,"""\""18.90 other Asiatic languages\"",\""1950-1953\"",\""Belletristische Darstellung\"",\""Exorcism\"",\""Exorcism Fiction\"",\""Exorcisme Romans, nouvelles, etc\"",\""Fiction\"",\""Geschwister\"",\""Korea (North) Hwanghae-do\"",\""Koreaans\"",\""Koreakrieg\"",\""Korean War, 1950-1953 Korea (North) Hwanghae-do Fiction\"",\""Massenmord\"",\""Novels\"",\""Novels (texts)\"",\""Romans\"",\""Translations (form)\"",\""novels\"""""
The Shadow Of Arms,Cornell Univ. East Asia Program,1994,31728387,"""\""18.90 other Asiatic languages\"",\""1961-1975\"",\""Fiction\"",\""Guerre du Viêt-nam, 1961-1975 Romans, nouvelles, etc\"",\""Novels (texts)\"",\""Romans\"",\""Translations (form)\"",\""Vietnam War, 1961-1975 Fiction\"""""
Miracle On Cherry Hill,Abacus,2019,1087108398,"""\""Brain Cancer Korea (South) Fiction\"",\""Brain Cancer Patients\"",\""Brain Cancer Patients Korea (South) Fiction\"",\""Cerveau Cancer Patients Corée du Sud Romans, nouvelles, etc\"",\""Corée du Sud Romans, nouvelles, etc\"",\""Domestic fiction\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Korean fiction\"",\""Neighbors\"",\""Neighbors Korea (South) Fiction\"",\""Novels\"",\""Petites villes Corée du Sud Romans, nouvelles, etc\"",\""Reminiscing in old age\"",\""Reminiscing in old age Fiction\"",\""Romans\"",\""Small cities\"",\""Small cities Korea (South) Fiction\"",\""Souvenir chez la personne âgée Romans, nouvelles, etc\"",\""Voisins Corée du Sud Romans, nouvelles, etc\"""""
The Cloudburst : Volume 106,Asia publishers,2015,1108081069,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
The Moving Fortress,MerwinAsia,2015,903596897,"""\""1900-1999\"",\""Corée du Sud Mœurs et coutumes 20e siècle Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Social life and customs 20th century Fiction\"",\""Korean fiction 20th century Translations into English\"",\""Manners and customs\"""""
Trees On A Slope,University of Hawaii Press,2005,56387176,"""\""1950-1953\"",\""Corée du Sud Romans, nouvelles, etc\"",\""Fiction\"",\""Guerre de Corée, 1950-1953 Romans, nouvelles, etc\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Koreakrieg\"",\""Korean War, 1950-1953 Fiction\"",\""Novels\"",\""Romans\"",\""Soldat\"",\""Soldiers\"",\""Soldiers Fiction\"",\""novels\"""""
A Man,Jimoondang,2003,61677699,"""\""Fiction\"",\""Hwang, Sun-wŏn, 1915-2000\"",\""Hwang, Sun-wŏn, 1915-2000 Translations into English\"",\""Romans\"",\""Translations\"""""
The Descendants Of Cain,M.E. Sharpe,1997,36892693,"""\""18.83 Altaic languages\"",\""Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Fictional Work\"",\""Historical fiction\"",\""Korea\"",\""Korea Fiction\"",\""Koreaans\"",\""Land tenure\"",\""Land tenure Fiction\"",\""Landowners\"",\""Landowners Fiction\"",\""Novels (texts)\"",\""Propriétaires fonciers Romans, nouvelles, etc\"",\""Romans\"",\""Translations (form)\"""""
"Sunlight, Moonlight",Si-sa-yong-o-sa,1990,23738439,"""\""1900-1999\"",\""Hwang, Sun-wŏn, 1915-2000\"",\""Hwang, Sun-wŏn, 1915-2000 Translations into English\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Translations\"""""
The Moving Castle,Si-sa-yong-o-sa,1985,13146698,"""\""1900-1999\"",\""Fiction\"",\""Korean fiction\"",\""Korean fiction 20th century Translations into English\"",\""Korean literature 20th century Translations into English\"",\""NOVELAS COREANAS\"",\""Romans\"",\""Translations\"""""
Trees On The Cliff,Larchwood Publications Ltd.,1980,433182855,"""\""Literatura coreana\"""""
Kong's Garden,Strangers Press,2019,1143345325,"""\""Nouvelles\"",\""Short stories\"",\""short stories\"""""
I'll Go On,Tilted Axis Press,2018,1085560055,"""\""Corée Romans, nouvelles, etc\"",\""Domestic fiction\"",\""Families\"",\""Familles ouvrières Corée Romans, nouvelles, etc\"",\""Fathers Death\"",\""Fathers Death Fiction\"",\""Femmes enceintes Corée Romans, nouvelles, etc\"",\""Fiction\"",\""Korea\"",\""Korea Fiction\"",\""Korean fiction\"",\""Mères et filles Romans, nouvelles, etc\"",\""Mothers and daughters\"",\""Mothers and daughters Fiction\"",\""Pères Mort Romans, nouvelles, etc\"",\""Pregnant women\"",\""Pregnant women Korea Fiction\"",\""Sisters\"",\""Sisters Fiction\"",\""Sœurs Romans, nouvelles, etc\"",\""Working class families Korea Fiction\"""""
One Hundred Shadows,Tilted Axis Press,2016,961300492,"""\""Korean fiction Translations into English\"",\""Nouvelles\"",\""Short stories\"",\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"",\""short stories\"""""
Kong's Garden,Asia publisher,2015,930275712,"""\""Short stories, Korean\"",\""Short stories, Korean Translations into English\"",\""Translations\"""""
Another Person,Pushkin Press,2023,1335112899,"""\""Corée du Sud Romans, nouvelles, etc\"",\""Feminism\"",\""Feminism Fiction\"",\""Féminisme Romans, nouvelles, etc\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Romans\"",\""Romans scolaires\"",\""School fiction\"""""
Broken Summer,Amazon Crossing,2022,1331704884,"""\""Artistes Romans, nouvelles, etc\"",\""Artists\"",\""Artists Fiction\"",\""Bildungsromans\"",\""Conjoints Romans, nouvelles, etc\"",\""Corée du Sud Romans, nouvelles, etc\"",\""FICTION / Family Life / Marriage \\u0026 Divorce\"",\""FICTION / Thrillers / Psychological\"",\""FICTION / Women\"",\""Fiction\"",\""Korea (South)\"",\""Korea (South) Fiction\"",\""Missing persons\"",\""Missing persons Fiction\"",\""Novels\"",\""Personnes disparues Romans, nouvelles, etc\"",\""Psychological fiction\"",\""Revenge Fiction\"",\""Romans\"",\""Secrecy\"",\""Secrecy Fiction\"",\""Secret Romans, nouvelles, etc\"",\""Spouses\"",\""Spouses Fiction\"",\""Truthfulness and falsehood\"",\""Truthfulness and falsehood Fiction\"",\""Vengeance Romans, nouvelles, etc\"""""
Can't I Go Instead,Tor Publishing Group,2023,1340645383,"""\""1910-1953\"",\""Arranged marriage\"",\""Arranged marriage Fiction\"",\""Classes sociales Romans, nouvelles, etc\"",\""Comfort women\"",\""Comfort women Fiction\"",\""Corée Histoire 1910-1945 (Occupation japonaise)\"",\""Employés de maison Romans, nouvelles, etc\"",\""Femmes Corée Romans, nouvelles, etc\"",\""Femmes de réconfort Romans, nouvelles, etc\"",\""Fiction\"",\""Guerre de Corée, 1950-1953 Romans, nouvelles, etc\"",\""History\"",\""Household employees\"",\""Household employees Fiction\"",\""Korea\"",\""Korea History Japanese occupation, 1910-1945\"",\""Korean War, 1950-1953 Fiction\"",\""Mariage arrangé Romans, nouvelles, etc\"",\""Nobility\"",\""Nobility Korea Fiction\"",\""Novels\"",\""Romans\"",\""Social classes\"",\""Social classes Fiction\"",\""Women\"",\""Women Korea Fiction\"""""
